time,AAPL,TSLA
2023-06-01,179.3796,205.0753
2023-06-02,180.6479,214.4711
2023-06-05,182.1408,218.1987
2023-06-06,178.7093,218.0639
2023-06-07,178.6619,226.6049
2023-06-08,179.5493,231.9463
2023-06-09,181.4395,247.1601
2023-06-12,182.836,247.9797
2023-06-13,183.1702,255.9313
2023-06-14,183.7101,257.1938
2023-06-15,185.5672,255.4895
2023-06-16,185.4644,260.5693
2023-06-20,185.2709,267.9665
2023-06-21,184.0809,265.4343
2023-06-22,186.1166,259.8135
2023-06-23,186.4952,257.7192
2023-06-26,186.3292,248.4735
2023-06-27,187.4998,246.0817
2023-06-28,188.8916,255.8218
2023-06-29,189.5561,256.8825
2023-06-30,193.102,262.7358
2023-07-03,192.6624,279.4365
2023-07-05,191.5803,280.5643
2023-07-06,190.8214,276.5306
2023-07-07,191.4218,277.4963
2023-07-10,188.3628,269.9791
2023-07-11,187.8219,268.5294
2023-07-12,189.9586,273.493
2023-07-13,190.565,274.8434
2023-07-14,190.4662,280.6967
2023-07-17,193.2997,288.1194
2023-07-18,193.3846,290.1081
2023-07-19,194.9188,294.2295
2023-07-20,194.276,269.7666
2023-07-21,192.5948,261.901
2023-07-24,193.2011,264.1066
2023-07-25,193.804,268.5547
2023-07-26,194.3737,264.8215
2023-07-27,194.8773,262.8828
2023-07-28,195.8075,264.2884
2023-07-31,196.1507,266.6378
2023-08-01,195.8486,262.3584
2023-08-02,192.9395,254.7165
2023-08-03,191.1312,256.8055
2023-08-04,184.279,258.2077
2023-08-07,179.0119,247.8972
2023-08-08,178.9854,248.5626
2023-08-09,178.4887,245.2037
2023-08-10,178.7951,246.9181
2023-08-11,177.8056,241.4995
2023-08-14,178.9475,237.8669
2023-08-15,177.9886,235.1623
2023-08-16,177.4133,229.1976
2023-08-17,174.5857,222.85
2023-08-18,173.8904,215.3288
2023-08-21,175.2221,227.5632
2023-08-22,177.0098,234.5499
2023-08-23,180.6482,235.0747
2023-08-24,177.7035,231.9755
2023-08-25,177.9075,235.0638
2023-08-28,179.6595,238.5989
2023-08-29,183.28,250.6305
2023-08-30,186.93,255.8745
2023-08-31,188.1489,258.0347
2023-09-01,189.0424,248.2783
2023-09-05,189.1084,253.7066
2023-09-06,183.786,249.5469
2023-09-07,176.7332,248.2384
2023-09-08,179.0663,251.3775
2023-09-11,178.8465,268.7353
2023-09-12,176.7048,271.5987
2023-09-13,175.0352,271.5792
2023-09-14,175.3715,274.4959
2023-09-15,175.0843,274.3254
2023-09-18,177.8915,266.8305
2023-09-19,178.4293,264.9527
2023-09-20,176.9653,268.2638
2023-09-21,174.8619,257.4932
2023-09-22,175.4667,251.4177
2023-09-25,175.6665,244.196
2023-09-26,172.7156,245.5599
2023-09-27,170.5335,240.4794
2023-09-28,170.297,243.9989
2023-09-29,171.5997,251.0357
2023-10-02,173.2879,249.4017
2023-10-03,172.1342,247.3658
2023-10-04,172.9437,255.8023
2023-10-05,174.2297,259.6693
2023-10-06,176.3366,256.3231
2023-10-09,177.8683,256.316
2023-10-10,178.6901,264.9455
2023-10-11,178.9503,264.0689
2023-10-12,180.9482,261.7214
2023-10-13,179.4154,254.0476
2023-10-16,178.1478,252.9076
2023-10-17,176.8623,253.2246
2023-10-18,176.3501,246.0077
2023-10-19,176.215,221.9815
2023-10-20,173.7459,214.0053
2023-10-23,172.3829,211.5664
2023-10-24,172.7333,217.6314
2023-10-25,171.4932,215.9507
2023-10-26,167.5944,208.3265
2023-10-27,167.9072,208.6603
2023-10-30,170.0788,200.01
2023-10-31,169.9252,199.042
2023-11-01,172.6187,201.9491
2023-11-02,176.6794,216.3665
2023-11-03,175.5751,221.1584
2023-11-06,178.5589,219.5877
2023-11-07,181.2627,219.1401
2023-11-08,182.6566,220.3064
2023-11-09,182.912,211.8254
2023-11-10,185.4104,211.7762
2023-11-13,184.8317,221.1108
2023-11-14,187.2038,234.6568
2023-11-15,188.4191,242.712
2023-11-16,189.7109,235.5195
2023-11-17,189.6022,233.2793
2023-11-20,191.2984,234.2284
2023-11-21,190.51,240.8894
2023-11-22,191.7223,234.7311
2023-11-24,189.7899,236.3998
2023-11-27,189.7974,235.6226
2023-11-28,190.165,241.1269
2023-11-29,189.9974,248.0515
2023-11-30,189.337,240.6912
2023-12-01,190.8613,236.4795
2023-12-04,188.916,236.4293
2023-12-05,193.1715,241.0369
2023-12-06,192.8014,243.3527
2023-12-07,194.3967,240.8987
2023-12-08,195.1638,243.0075
2023-12-11,192.7089,240.1813
2023-12-12,193.7834,235.8497
2023-12-13,196.9085,233.8525
2023-12-14,198.2872,248.748
2023-12-15,197.56,252.0408
2023-12-18,195.6255,254.9377
2023-12-19,196.5277,256.1921
2023-12-20,196.142,254.4666
2023-12-21,194.7425,252.0455
2023-12-22,194.1013,255.1771
2023-12-26,193.1713,256.3719
2023-12-27,192.5679,261.7265
2023-12-28,193.9222,258.4918
2023-12-29,192.5761,250.3555
